id	pregunta	tipo	id_tema	created_at	updated_at	id_imagen	id	opcion	id_pregunta	esrespuesta	created_at	updated_at
121820	D003\nRepresenta la diferencia de dos o más elementos. \nNota: se espera solo una palabra.	1	26	NULL	NULL	NULL	219678	resta	121820	1	NULL	NULL
121821	D001.\nEsta es la jerarquía correcta de operaciones:\n1. Paréntesis\n2. Exponentes \n3. Multiplicación y División\n4. Suma y Resta\n	3	36	NULL	NULL	NULL	219679	verdadero	121821	1	NULL	NULL
121822	D003\nRepresenta el producto de dos o más elementos. \nNota: se espera solo una palabra.	1	26	NULL	NULL	NULL	219680	multiplicacion	121822	1	NULL	NULL
121823	D001.\nResuelve:\n	2	36	NULL	NULL	NULL	219681	14	121823	1	NULL	NULL
121824	D003.\nPropiedades de la suma: conmutativa, uniformidad, asociativa, disociativa.	3	26	NULL	NULL	NULL	219682	verdadero	121824	1	NULL	NULL
121825	D003.\nLa operación inversa de la multiplicación es la raiz.	3	26	NULL	NULL	NULL	219683	falso	121825	1	NULL	NULL
121827	D001.\nResuelve: 	4	36	NULL	NULL	NULL	219764	32	121827	0	NULL	NULL
121827	D001.\nResuelve: 	4	36	NULL	NULL	NULL	219765	73/3	121827	0	NULL	NULL
121827	D001.\nResuelve: 	4	36	NULL	NULL	NULL	219766	12	121827	0	NULL	NULL
121827	D001.\nResuelve: 	4	36	NULL	NULL	NULL	219767	9	121827	0	NULL	NULL
121827	D001.\nResuelve: 	4	36	NULL	NULL	NULL	219768	9	121827	0	NULL	NULL
121827	D001.\nResuelve: 	4	36	NULL	NULL	NULL	219769	32	121827	0	NULL	NULL
121827	D001.\nResuelve: 	4	36	NULL	NULL	NULL	219770	17	121827	1	NULL	NULL
121827	D001.\nResuelve: 	4	36	NULL	NULL	NULL	219771	73/3	121827	0	NULL	NULL
121827	D001.\nResuelve: 	4	36	NULL	NULL	NULL	219772	9	121827	0	NULL	NULL
121827	D001.\nResuelve: 	4	36	NULL	NULL	NULL	219773	32	121827	0	NULL	NULL
121828	D003.\nLa operación inversa de la suma es:	4	26	NULL	NULL	NULL	219954	resta	121828	1	NULL	NULL
121828	D003.\nLa operación inversa de la suma es:	4	26	NULL	NULL	NULL	219955	división	121828	0	NULL	NULL
121828	D003.\nLa operación inversa de la suma es:	4	26	NULL	NULL	NULL	219956	raiz	121828	0	NULL	NULL
121828	D003.\nLa operación inversa de la suma es:	4	26	NULL	NULL	NULL	219957	logarítmo	121828	0	NULL	NULL
121828	D003.\nLa operación inversa de la suma es:	4	26	NULL	NULL	NULL	219958	multiplicación	121828	0	NULL	NULL
121829	D002.\nDos variables con números diferentes pero mismo signo se ______ y se mantiene la variable. 	1	86	NULL	NULL	NULL	219696	suman	121829	1	NULL	NULL
121830	D002.\nSe pueden sumar o restar las potencias en una suma o resta algebraica. 	3	86	NULL	NULL	NULL	219707	falso	121830	1	NULL	NULL
121831	D003.\nLa operación inversa de la multiplicación es:	4	26	NULL	NULL	NULL	219959	resta	121831	0	NULL	NULL
121831	D003.\nLa operación inversa de la multiplicación es:	4	26	NULL	NULL	NULL	219960	división	121831	1	NULL	NULL
121831	D003.\nLa operación inversa de la multiplicación es:	4	26	NULL	NULL	NULL	219961	raiz	121831	0	NULL	NULL
121831	D003.\nLa operación inversa de la multiplicación es:	4	26	NULL	NULL	NULL	219962	logarítmo	121831	0	NULL	NULL
121831	D003.\nLa operación inversa de la multiplicación es:	4	26	NULL	NULL	NULL	219963	multiplicación	121831	0	NULL	NULL
121832	D003.\nLa operación inversa de la potenciación es:	4	26	NULL	NULL	NULL	219964	resta	121832	0	NULL	NULL
121832	D003.\nLa operación inversa de la potenciación es:	4	26	NULL	NULL	NULL	219965	división	121832	0	NULL	NULL
121832	D003.\nLa operación inversa de la potenciación es:	4	26	NULL	NULL	NULL	219966	raíz	121832	1	NULL	NULL
121832	D003.\nLa operación inversa de la potenciación es:	4	26	NULL	NULL	NULL	219967	logarítmo	121832	0	NULL	NULL
121832	D003.\nLa operación inversa de la potenciación es:	4	26	NULL	NULL	NULL	219968	multiplicación	121832	0	NULL	NULL
121833	D003.\nAl ir a la universidad durante la semana pasada, en transporte y almuerzo: el Lunes gaste ${a}, el Martes ${b}, Miércoles ${c}, Jueves $ {d} y el Viernes ${e}. ¿El gasto de la semana fue?	5	26	NULL	NULL	NULL	219718	{a} + {b} + {c} + {d} + {e}	121833	1	NULL	NULL
121834	D001.\nResuelve: \n{a} + {b} * {c} - ( {b} - {n} * {c} ) + ( {a} * {c} ) / {c}	5	36	NULL	NULL	NULL	219719	{a} + {b} * {c} - ( {b} - {n} * {c} ) + ( {a} * {c} ) / {c}	121834	1	NULL	NULL
121835	D003\n¿Cuál es el resultado de la siguiente expresión?\n528+312+51	2	26	NULL	NULL	NULL	219720	891	121835	1	NULL	NULL
121836	D003\n¿Cuál es el resultado de la siguiente expresión?\n28*12	2	26	NULL	NULL	NULL	219721	336	121836	1	NULL	NULL
121837	D003\n¿Cuál  es el resultado de la siguiente expresión?\n1327-718\n	2	26	NULL	NULL	NULL	219722	609	121837	1	NULL	NULL
121838	D003\n¿Cuál es el resultado de la siguiente expresión?\n1024/32	2	26	NULL	NULL	NULL	219723	32	121838	1	NULL	NULL
121840	D004\nEs una razón de proporcionalidad que representa una cantidad compara con 100.\nNota: Se espera una sola palabra.	1	98	NULL	NULL	NULL	219728	porcentaje	121840	1	NULL	NULL
121841	D004\nEl 25% de 1200	2	98	NULL	NULL	NULL	219729	300	121841	1	NULL	NULL
121842	D004\nUna pantalla tiene un descuento de 10% si su valor es de $12,000 ¿De cuánto es el descuento?	2	98	NULL	NULL	NULL	219730	1200	121842	1	NULL	NULL
121843	D004.\nPara denotar porcentaje usamos el  símbolo de ÷	3	98	NULL	NULL	NULL	219731	verdadero	121843	1	NULL	NULL
121844	D004.\nUn celular nuevo tiene el precio de $18000. Tiene un 15% de descuento. Si lo compro, ¿Cuánto me costará?	4	98	NULL	NULL	NULL	219969	2700	121844	0	NULL	NULL
121844	D004.\nUn celular nuevo tiene el precio de $18000. Tiene un 15% de descuento. Si lo compro, ¿Cuánto me costará?	4	98	NULL	NULL	NULL	219970	15300	121844	1	NULL	NULL
121844	D004.\nUn celular nuevo tiene el precio de $18000. Tiene un 15% de descuento. Si lo compro, ¿Cuánto me costará?	4	98	NULL	NULL	NULL	219971	20700	121844	0	NULL	NULL
121844	D004.\nUn celular nuevo tiene el precio de $18000. Tiene un 15% de descuento. Si lo compro, ¿Cuánto me costará?	4	98	NULL	NULL	NULL	219972	14400	121844	0	NULL	NULL
121844	D004.\nUn celular nuevo tiene el precio de $18000. Tiene un 15% de descuento. Si lo compro, ¿Cuánto me costará?	4	98	NULL	NULL	NULL	219973	16200	121844	0	NULL	NULL
121844	D004.\nUn celular nuevo tiene el precio de $18000. Tiene un 15% de descuento. Si lo compro, ¿Cuánto me costará?	4	98	NULL	NULL	NULL	219974	13500	121844	0	NULL	NULL
121845	D005.\nResuelve:	2	96	NULL	NULL	NULL	219795	5	121845	1	NULL	NULL
121846	D005. \nResuelve:	2	96	NULL	NULL	NULL	219796	2	121846	1	NULL	NULL
121847	D005.\nLa raíz cuadrada de un número consiste en encontrar un número que multiplicado por si mismo nos de el valor que tenemos	3	96	NULL	NULL	NULL	219797	verdadero	121847	1	NULL	NULL
121850	D005. \nOperación inversa a la potencia 	1	96	NULL	NULL	NULL	219804	raiz	121850	1	NULL	NULL
121851	D006\nEvalúa la ecuación cuadrática\n	2	94	NULL	NULL	NULL	219805	12	121851	1	NULL	NULL
121852	D006.\nLa fórmula general para resolver ecuaciones cuadráticas es:	3	94	NULL	NULL	NULL	219806	falso	121852	1	NULL	NULL
121853	D006.\nAl resolver:	4	94	NULL	NULL	NULL	219975	x=1,x=2	121853	0	NULL	NULL
121853	D006.\nAl resolver:	4	94	NULL	NULL	NULL	219976	x=-2,x=1	121853	0	NULL	NULL
121853	D006.\nAl resolver:	4	94	NULL	NULL	NULL	219977	x=-1,x=-2	121853	1	NULL	NULL
121853	D006.\nAl resolver:	4	94	NULL	NULL	NULL	219978	x=2,x=-1	121853	0	NULL	NULL
121855	D007.\nIndica con una palabra el grado de la siguiente ecuación algebraica 	1	78	NULL	NULL	NULL	219812	cinco	121855	1	NULL	NULL
121856	D007.\nResuelve:	2	78	NULL	NULL	NULL	219813	8	121856	1	NULL	NULL
121857	D007.\nLa suma de tres números consecutivos da 21. ¿Cuáles son esos números? 	4	78	NULL	NULL	NULL	219814	5	121857	0	NULL	NULL
121857	D007.\nLa suma de tres números consecutivos da 21. ¿Cuáles son esos números? 	4	78	NULL	NULL	NULL	219815	6	121857	1	NULL	NULL
121857	D007.\nLa suma de tres números consecutivos da 21. ¿Cuáles son esos números? 	4	78	NULL	NULL	NULL	219816	7	121857	1	NULL	NULL
121857	D007.\nLa suma de tres números consecutivos da 21. ¿Cuáles son esos números? 	4	78	NULL	NULL	NULL	219817	8	121857	1	NULL	NULL
121857	D007.\nLa suma de tres números consecutivos da 21. ¿Cuáles son esos números? 	4	78	NULL	NULL	NULL	219818	4	121857	0	NULL	NULL
121857	D007.\nLa suma de tres números consecutivos da 21. ¿Cuáles son esos números? 	4	78	NULL	NULL	NULL	219819	9	121857	0	NULL	NULL
121858	D007.\nAl resolver una ecuación algebraica de segundo grado, siempre se obtienen dos raíces. 	3	78	NULL	NULL	NULL	219820	falso	121858	1	NULL	NULL
121859	D007.\n¿Cuál es el valor de x que satisface la igualdad?	4	78	NULL	NULL	NULL	219821	8	121859	0	NULL	NULL
121859	D007.\n¿Cuál es el valor de x que satisface la igualdad?	4	78	NULL	NULL	NULL	219822	-4	121859	0	NULL	NULL
121859	D007.\n¿Cuál es el valor de x que satisface la igualdad?	4	78	NULL	NULL	NULL	219823	4	121859	1	NULL	NULL
121859	D007.\n¿Cuál es el valor de x que satisface la igualdad?	4	78	NULL	NULL	NULL	219824	2	121859	0	NULL	NULL
121859	D007.\n¿Cuál es el valor de x que satisface la igualdad?	4	78	NULL	NULL	NULL	219825	-2	121859	0	NULL	NULL
121859	D007.\n¿Cuál es el valor de x que satisface la igualdad?	4	78	NULL	NULL	NULL	219826	-8	121859	0	NULL	NULL
121860	D009.\nEn una división de polinomio entre monomio, el residuo es siempre cero. 	3	164	NULL	NULL	NULL	219827	verdadero	121860	1	NULL	NULL
121861	D009.\nDetermine el grado del cociente de: 	4	164	NULL	NULL	NULL	219828	2	121861	0	NULL	NULL
121861	D009.\nDetermine el grado del cociente de: 	4	164	NULL	NULL	NULL	219829	3	121861	1	NULL	NULL
121861	D009.\nDetermine el grado del cociente de: 	4	164	NULL	NULL	NULL	219830	1	121861	0	NULL	NULL
121861	D009.\nDetermine el grado del cociente de: 	4	164	NULL	NULL	NULL	219831	0	121861	0	NULL	NULL
121861	D009.\nDetermine el grado del cociente de: 	4	164	NULL	NULL	NULL	219832	-3	121861	0	NULL	NULL
121861	D009.\nDetermine el grado del cociente de: 	4	164	NULL	NULL	NULL	219833	-1	121861	0	NULL	NULL
121862	D011. \nCuando escribimos Gf= {(x,y) | x ϵ Df } hacemos referencia a la representación _______ de una función.	1	193	NULL	NULL	NULL	219834	grafica	121862	1	NULL	NULL
121863	D011.\nLa forma verbal de una función corresponde a un enunciado que involucra datos, incógnitas y relaciones verbales entre ellos 	3	193	NULL	NULL	NULL	219835	verdadero	121863	1	NULL	NULL
121864	D011.\nLos datos en la siguiente tabla corresponden a una relación ______. 	1	193	NULL	NULL	NULL	219836	directa	121864	1	NULL	NULL
